date,region,state_po,candidate,party,voteshare,ev
11/3/1868,Louisiana,LA,Seymour,democrat,70.69029325,
11/3/1868,Louisiana,LA,Other,independent,0,
11/3/1868,Maine,ME,Grant,republican,62.4121386,
11/3/1868,Maine,ME,Seymour,democrat,37.5878614,
11/3/1868,Maine,ME,Other,independent,0,
11/3/1868,Maryland,MD,Grant,republican,32.80133628,
11/3/1868,Maryland,MD,Seymour,democrat,67.19866372,
11/3/1868,Maryland,MD,Other,independent,0,
11/3/1868,Massachusetts,MA,Grant,republican,69.75622481,
11/3/1868,Massachusetts,MA,Seymour,democrat,30.2304765,
11/3/1868,Massachusetts,MA,Other,independent,0.01329868854,
11/3/1868,Michigan,MI,Grant,republican,56.98076412,
11/3/1868,Michigan,MI,Seymour,democrat,43.01923588,
11/3/1868,Michigan,MI,Other,independent,0,
11/3/1868,Minnesota,MN,Grant,republican,60.8788883,
11/3/1868,Minnesota,MN,Seymour,democrat,39.1211117,
11/3/1868,Minnesota,MN,Other,independent,0,
11/3/1868,Missouri,MO,Grant,republican,56.96185929,
11/3/1868,Missouri,MO,Seymour,democrat,43.03814071,
11/3/1868,Missouri,MO,Other,independent,0,
11/3/1868,Nebraska,NE,Grant,republican,63.90687332,
11/3/1868,Nebraska,NE,Seymour,democrat,36.09312668,
11/3/1868,Nebraska,NE,Other,independent,0,
11/3/1868,Nevada,NV,Grant,republican,55.39408446,
11/3/1868,Nevada,NV,Seymour,democrat,44.60591554,
11/3/1868,Nevada,NV,Other,independent,0,
11/3/1868,New Hampshire,NH,Grant,republican,55.2207777,
11/3/1868,New Hampshire,NH,Seymour,democrat,44.76311783,
11/3/1868,New Hampshire,NH,Other,independent,0.01610447412,
11/3/1868,New Jersey,NJ,Grant,republican,49.12034426,
11/3/1868,New Jersey,NJ,Seymour,democrat,50.87965574,
11/3/1868,New Jersey,NJ,Other,independent,0,
11/3/1868,New York,NY,Grant,republican,49.41190038,
11/3/1868,New York,NY,Seymour,democrat,50.58809962,
11/3/1868,New York,NY,Other,independent,0,
11/3/1868,North Carolina,NC,Grant,republican,53.4105059,
11/3/1868,North Carolina,NC,Seymour,democrat,46.5894941,
11/3/1868,North Carolina,NC,Other,independent,0,
11/3/1868,Ohio,OH,Grant,republican,54.00414042,
11/3/1868,Ohio,OH,Seymour,democrat,45.99585958,
11/3/1868,Ohio,OH,Other,independent,0,
11/3/1868,Oregon,OR,Grant,republican,49.62872408,
11/3/1868,Oregon,OR,Seymour,democrat,50.37127592,
11/3/1868,Oregon,OR,Other,independent,0,
11/3/1868,Pennsylvania,PA,Grant,republican,52.20372692,
11/3/1868,Pennsylvania,PA,Seymour,democrat,47.79627308,
11/3/1868,Pennsylvania,PA,Other,independent,0,
11/3/1868,Rhode Island,RI,Grant,republican,66.49096771,
11/3/1868,Rhode Island,RI,Seymour,democrat,33.50903229,
11/3/1868,Rhode Island,RI,Other,independent,0,
11/3/1868,South Carolina,SC,Grant,republican,57.93393963,
11/3/1868,South Carolina,SC,Seymour,democrat,42.06606037,
11/3/1868,South Carolina,SC,Other,independent,0,
11/3/1868,Tennessee,TN,Grant,republican,68.42684003,
11/3/1868,Tennessee,TN,Seymour,democrat,31.57315997,
11/3/1868,Tennessee,TN,Other,independent,0,
11/3/1868,Vermont,VT,Grant,republican,78.57219099,
11/3/1868,Vermont,VT,Seymour,democrat,21.42780901,
11/3/1868,Vermont,VT,Other,independent,0,
11/3/1868,West Virginia,WV,Grant,republican,58.82889641,
11/3/1868,West Virginia,WV,Seymour,democrat,41.17110359,
11/3/1868,West Virginia,WV,Other,independent,0,
11/3/1868,Wisconsin,WI,Grant,republican,56.24912837,
11/3/1868,Wisconsin,WI,Seymour,democrat,43.75087163,
11/3/1868,Wisconsin,WI,Other,independent,0,
11/3/1868,National Popular Vote,NPV,Grant,republican,52.6627101064,
11/3/1868,National Popular Vote,NPV,Seymour,democrat,47.3364860936,
11/5/1872,Alabama,AL,Grant,republican,53.19003512,
11/5/1872,Alabama,AL,Greeley,democrat,46.80996488,
11/5/1872,Alabama,AL,Other,independent,0,
11/5/1872,Arkansas,AR,Grant,republican,52.17276166,0
11/5/1872,Arkansas,AR,Greeley,democrat,47.82723834,
11/5/1872,Arkansas,AR,Other,independent,0,
11/5/1872,California,CA,Grant,republican,56.38356736,
11/5/1872,California,CA,Greeley,democrat,42.50874354,
11/5/1872,California,CA,Other,independent,1.107689095,
11/5/1872,Connecticut,CT,Grant,republican,52.40550365,
11/5/1872,Connecticut,CT,Greeley,democrat,47.59449635,
11/5/1872,Connecticut,CT,Other,independent,0,
11/5/1872,Delaware,DE,Grant,republican,50.99899184,
11/5/1872,Delaware,DE,Greeley,democrat,46.76473284,
11/5/1872,Delaware,DE,Other,independent,2.236275318,
11/5/1872,Florida,FL,Grant,republican,53.51913227,
11/5/1872,Florida,FL,Greeley,democrat,46.48086773,
11/5/1872,Florida,FL,Other,independent,0,
11/5/1872,Georgia,GA,Grant,republican,45.03045225,
11/5/1872,Georgia,GA,Greeley,democrat,54.96954775,3
11/5/1872,Georgia,GA,Other,independent,0,8
11/5/1872,Illinois,IL,Grant,republican,56.26798086,
11/5/1872,Illinois,IL,Greeley,democrat,42.99917901,
11/5/1872,Illinois,IL,Other,independent,0.7328401218,
11/5/1872,Indiana,IN,Grant,republican,53.00373581,
11/5/1872,Indiana,IN,Greeley,democrat,46.59278579,
11/5/1872,Indiana,IN,Other,independent,0.4034783995,
11/5/1872,Iowa,IA,Grant,republican,60.80743189,
11/5/1872,Iowa,IA,Greeley,democrat,32.90227162,
11/5/1872,Iowa,IA,Other,independent,6.29029649,
11/5/1872,Kansas,KS,Grant,republican,66.46470073,
11/5/1872,Kansas,KS,Greeley,democrat,32.80205349,
11/5/1872,Kansas,KS,Other,independent,0.7332457816,
11/5/1872,Kentucky,KY,Grant,republican,46.44152039,
11/5/1872,Kentucky,KY,Greeley,democrat,52.31642556,
11/5/1872,Kentucky,KY,Other,independent,1.242054046,12
11/5/1872,Louisiana,LA,Grant,republican,55.68566811,0
11/5/1872,Louisiana,LA,Greeley,democrat,44.31433189,
11/5/1872,Louisiana,LA,Other,independent,0,
11/5/1872,Maine,ME,Grant,republican,67.85678778,
11/5/1872,Maine,ME,Greeley,democrat,32.14321222,
11/5/1872,Maine,ME,Other,independent,0,
11/5/1872,Maryland,MD,Grant,republican,49.65525449,
11/5/1872,Maryland,MD,Greeley,democrat,50.34474551,
11/5/1872,Maryland,MD,Other,independent,0,8
11/5/1872,Massachusetts,MA,Grant,republican,69.19642857,
11/5/1872,Massachusetts,MA,Greeley,democrat,30.69261241,
11/5/1872,Massachusetts,MA,Other,independent,0.1109590178,
11/5/1872,Michigan,MI,Grant,republican,62.65742476,
11/5/1872,Michigan,MI,Greeley,democrat,35.4704116,
11/5/1872,Michigan,MI,Other,independent,1.872163645,
11/5/1872,Minnesota,MN,Grant,republican,61.27212134,
11/5/1872,Minnesota,MN,Greeley,democrat,38.72787866,
11/5/1872,Minnesota,MN,Other,independent,0,
11/5/1872,Mississippi,MS,Grant,republican,63.47667565,
11/5/1872,Mississippi,MS,Greeley,democrat,36.52332435,
11/5/1872,Mississippi,MS,Other,independent,0,
11/5/1872,Missouri,MO,Grant,republican,43.65210449,
11/5/1872,Missouri,MO,Greeley,democrat,55.45834417,
11/5/1872,Missouri,MO,Other,independent,0.8895513424,15
11/5/1872,Nebraska,NE,Grant,republican,70.68101188,
11/5/1872,Nebraska,NE,Greeley,democrat,29.31898812,
11/5/1872,Nebraska,NE,Other,independent,0,
11/5/1872,Nevada,NV,Grant,republican,57.43054133,
11/5/1872,Nevada,NV,Greeley,democrat,42.56945867,
11/5/1872,Nevada,NV,Other,independent,0,
11/5/1872,New Hampshire,NH,Grant,republican,53.94015035,
11/5/1872,New Hampshire,NH,Greeley,democrat,45.60560764,
11/5/1872,New Hampshire,NH,Other,independent,0.4542420109,
11/5/1872,New Jersey,NJ,Grant,republican,54.52079566,
11/5/1872,New Jersey,NJ,Greeley,democrat,45.47920434,
11/5/1872,New Jersey,NJ,Other,independent,0,
11/5/1872,New York,NY,Grant,republican,53.22794135,
11/5/1872,New York,NY,Greeley,democrat,46.77205865,
11/5/1872,New York,NY,Other,independent,0,
11/5/1872,North Carolina,NC,Grant,republican,57.38089039,
11/5/1872,North Carolina,NC,Greeley,democrat,42.4610839,
11/5/1872,North Carolina,NC,Other,independent,0.1580257079,
11/5/1872,Ohio,OH,Grant,republican,53.23627407,
11/5/1872,Ohio,OH,Greeley,democrat,46.1474097,
11/5/1872,Ohio,OH,Other,independent,0.6163162309,
11/5/1872,Oregon,OR,Grant,republican,58.6588574,
11/5/1872,Oregon,OR,Greeley,democrat,38.42755745,
11/5/1872,Oregon,OR,Other,independent,2.913585149,
11/5/1872,Pennsylvania,PA,Grant,republican,62.06507806,
11/5/1872,Pennsylvania,PA,Greeley,democrat,37.64518111,
11/5/1872,Pennsylvania,PA,Other,independent,0.2897408311,
11/5/1872,Rhode Island,RI,Grant,republican,71.94377172,
11/5/1872,Rhode Island,RI,Greeley,democrat,28.05622828,
11/5/1872,Rhode Island,RI,Other,independent,0,
11/5/1872,South Carolina,SC,Grant,republican,75.73440054,
11/5/1872,South Carolina,SC,Greeley,democrat,23.78053891,
11/5/1872,South Carolina,SC,Other,independent,0.485060554,
11/5/1872,Tennessee,TN,Grant,republican,47.83966132,
11/5/1872,Tennessee,TN,Greeley,democrat,52.16033868,
11/5/1872,Tennessee,TN,Other,independent,0,12
11/5/1872,Texas,TX,Grant,republican,40.71221504,
11/5/1872,Texas,TX,Greeley,democrat,57.07497813,
11/5/1872,Texas,TX,Other,independent,2.212806834,8
11/5/1872,Vermont,VT,Grant,republican,78.29369573,
11/5/1872,Vermont,VT,Greeley,democrat,20.62287656,
11/5/1872,Vermont,VT,Other,independent,1.083427709,
11/5/1872,Virginia,VA,Grant,republican,50.46734523,
11/5/1872,Virginia,VA,Greeley,democrat,49.4867572,
11/5/1872,Virginia,VA,Other,independent,0.04589756743,
11/5/1872,West Virginia,WV,Grant,republican,51.73931836,
11/5/1872,West Virginia,WV,Greeley,democrat,47.27616181,
11/5/1872,West Virginia,WV,Other,independent,0.9845198265,
11/5/1872,Wisconsin,WI,Grant,republican,54.59764437,
11/5/1872,Wisconsin,WI,Greeley,democrat,44.96866956,
11/5/1872,Wisconsin,WI,Other,independent,0.4336860716,
11/5/1872,National Popular Vote,NPV,Grant,republican,55.5848029885,
11/5/1872,National Popular Vote,NPV,Greeley,democrat,43.7842621033,
11/7/1876,Alabama,AL,Hayes,republican,40.01654057,
11/7/1876,Alabama,AL,Tilden,democrat,59.9822946,
11/7/1876,Alabama,AL,Other,independent,0.001164829149,
11/7/1876,Arkansas,AR,Hayes,republican,39.86652363,
11/7/1876,Arkansas,AR,Tilden,democrat,59.91582943,
11/7/1876,Arkansas,AR,Other,independent,0.2176469375,
11/7/1876,California,CA,Hayes,republican,50.87685513,
11/7/1876,California,CA,Tilden,democrat,49.08077851,
11/7/1876,California,CA,Other,independent,0.04236635341,
11/7/1876,Connecticut,CT,Hayes,republican,48.33461608,
11/7/1876,Connecticut,CT,Tilden,democrat,50.70414463,
11/7/1876,Connecticut,CT,Other,independent,0.9612392945,
11/7/1876,Colorado,CO,Hayes,republican,100,
11/7/1876,Colorado,CO,Tilden,democrat,0,
11/7/1876,Colorado,CO,Other,independent,0,
11/7/1876,Delaware,DE,Hayes,republican,44.55310156,
11/7/1876,Delaware,DE,Tilden,democrat,55.44689844,
11/7/1876,Delaware,DE,Other,independent,0,
11/7/1876,Florida,FL,Hayes,republican,50.98554814,
11/7/1876,Florida,FL,Tilden,democrat,49.01445186,
11/7/1876,Florida,FL,Other,independent,0,
11/7/1876,Georgia,GA,Hayes,republican,27.96668327,
11/7/1876,Georgia,GA,Tilden,democrat,72.03331673,
11/7/1876,Georgia,GA,Other,independent,0,
11/7/1876,Illinois,IL,Hayes,republican,50.20181261,
11/7/1876,Illinois,IL,Tilden,democrat,46.66156647,
11/7/1876,Illinois,IL,Other,independent,3.136620915,
11/7/1876,Indiana,IN,Hayes,republican,47.39252377,
11/7/1876,Indiana,IN,Tilden,democrat,48.64904274,
11/7/1876,Indiana,IN,Other,independent,3.958433487,
11/7/1876,Iowa,IA,Hayes,republican,58.49739482,
11/7/1876,Iowa,IA,Tilden,democrat,38.28249305,
11/7/1876,Iowa,IA,Other,independent,3.220112129,
11/7/1876,Kansas,KS,Hayes,republican,63.09633138,
11/7/1876,Kansas,KS,Tilden,democrat,30.53313355,
11/7/1876,Kansas,KS,Other,independent,6.370535067,
11/7/1876,Kentucky,KY,Hayes,republican,37.43601943,
11/7/1876,Kentucky,KY,Tilden,democrat,61.41367323,
11/7/1876,Kentucky,KY,Other,independent,1.150307337,
11/7/1876,Louisiana,LA,Hayes,republican,51.64823107,
11/7/1876,Louisiana,LA,Tilden,democrat,48.35176893,
11/7/1876,Louisiana,LA,Other,independent,0,
11/7/1876,Maine,ME,Hayes,republican,56.64488017,
11/7/1876,Maine,ME,Tilden,democrat,42.6476996,
11/7/1876,Maine,ME,Other,independent,0.707420223,
11/7/1876,Maryland,MD,Hayes,republican,43.95483607,
11/7/1876,Maryland,MD,Tilden,democrat,56.04516393,
11/7/1876,Maryland,MD,Other,independent,0,
11/7/1876,Massachusetts,MA,Hayes,republican,57.80140205,
11/7/1876,Massachusetts,MA,Tilden,democrat,41.89854403,
11/7/1876,Massachusetts,MA,Other,independent,0.300053925,
11/7/1876,Michigan,MI,Hayes,republican,52.4104255,
11/7/1876,Michigan,MI,Tilden,democrat,44.49207097,
11/7/1876,Michigan,MI,Other,independent,3.097503533,
11/7/1876,Minnesota,MN,Hayes,republican,58.79911344,
11/7/1876,Minnesota,MN,Tilden,democrat,39.15937941,
11/7/1876,Minnesota,MN,Other,independent,2.041507153,
11/7/1876,Mississippi,MS,Hayes,republican,31.92394523,
11/7/1876,Mississippi,MS,Tilden,democrat,68.07605477,
11/7/1876,Mississippi,MS,Other,independent,0,
11/7/1876,Missouri,MO,Hayes,republican,41.36419383,
11/7/1876,Missouri,MO,Tilden,democrat,57.63840164,
11/7/1876,Missouri,MO,Other,independent,0.9974045235,
11/7/1876,Nebraska,NE,Hayes,republican,64.69956211,
11/7/1876,Nebraska,NE,Tilden,democrat,35.30043789,
11/7/1876,Nebraska,NE,Other,independent,0,
11/7/1876,Nevada,NV,Hayes,republican,52.72967345,
11/7/1876,Nevada,NV,Tilden,democrat,47.27032655,
11/7/1876,Nevada,NV,Other,independent,0,
11/7/1876,New Hampshire,NH,Hayes,republican,51.8336432,
11/7/1876,New Hampshire,NH,Tilden,democrat,48.05280693,
11/7/1876,New Hampshire,NH,Other,independent,0.1135498684,
11/7/1876,New Jersey,NJ,Hayes,republican,47.01193953,
11/7/1876,New Jersey,NJ,Tilden,democrat,52.66379948,
11/7/1876,New Jersey,NJ,Other,independent,0.3242609892,
11/7/1876,New York,NY,Hayes,republican,48.17386064,
11/7/1876,New York,NY,Tilden,democrat,51.39807563,
11/7/1876,New York,NY,Other,independent,0.428063728,
11/7/1876,North Carolina,NC,Hayes,republican,46.37832338,
11/7/1876,North Carolina,NC,Tilden,democrat,53.62167662,
11/7/1876,North Carolina,NC,Other,independent,0,
11/7/1876,Ohio,OH,Hayes,republican,50.20853292,
11/7/1876,Ohio,OH,Tilden,democrat,49.0674092,
11/7/1876,Ohio,OH,Other,independent,0.7240578821,
11/7/1876,Oregon,OR,Hayes,republican,50.91529735,
11/7/1876,Oregon,OR,Tilden,democrat,47.37793247,
11/7/1876,Oregon,OR,Other,independent,1.706770188,
11/7/1876,Pennsylvania,PA,Hayes,republican,50.61759463,
11/7/1876,Pennsylvania,PA,Tilden,democrat,48.24866632,
11/7/1876,Pennsylvania,PA,Other,independent,1.133739046,
11/7/1876,Rhode Island,RI,Hayes,republican,59.28944305,
11/7/1876,Rhode Island,RI,Tilden,democrat,40.22984189,
11/7/1876,Rhode Island,RI,Other,independent,0.4807150637,
11/7/1876,South Carolina,SC,Hayes,republican,50.24331766,
11/7/1876,South Carolina,SC,Tilden,democrat,49.75668234,
11/7/1876,South Carolina,SC,Other,independent,0,
11/7/1876,Tennessee,TN,Hayes,republican,40.21046677,
11/7/1876,Tennessee,TN,Tilden,democrat,59.78953323,
11/7/1876,Tennessee,TN,Other,independent,0,
11/7/1876,Texas,TX,Hayes,republican,29.95553475,
11/7/1876,Texas,TX,Tilden,democrat,70.04446525,
11/7/1876,Texas,TX,Other,independent,0,
11/7/1876,Vermont,VT,Hayes,republican,68.3020154,
11/7/1876,Vermont,VT,Tilden,democrat,31.37576875,
11/7/1876,Vermont,VT,Other,independent,0.3222158536,
11/7/1876,Virginia,VA,Hayes,republican,40.42439735,
11/7/1876,Virginia,VA,Tilden,democrat,59.57560265,
11/7/1876,Virginia,VA,Other,independent,0,
11/7/1876,West Virginia,WV,Hayes,republican,42.14577458,
11/7/1876,West Virginia,WV,Tilden,democrat,56.74631449,
11/7/1876,West Virginia,WV,Other,independent,1.107910926,
11/7/1876,Wisconsin,WI,Hayes,republican,50.57489589,
11/7/1876,Wisconsin,WI,Tilden,democrat,48.18704628,
11/7/1876,Wisconsin,WI,Other,independent,1.238057836,
11/7/1876,National Popular Vote,NPV,Hayes,republican,47.9190569424,
11/7/1876,National Popular Vote,NPV,Tilden,democrat,50.9203187824,
11/2/1880,Alabama,AL,Garfield,republican,37.09628576,
11/2/1880,Alabama,AL,Hancock,democrat,59.99262683,
11/2/1880,Alabama,AL,Weaver,independent,2.911087412,
11/2/1880,Alabama,AL,Other,independent,0,
11/2/1880,Arkansas,AR,Garfield,republican,38.6566084,
11/2/1880,Arkansas,AR,Hancock,democrat,56.12682329,
11/2/1880,Arkansas,AR,Weaver,independent,3.784842074,
11/2/1880,Arkansas,AR,Other,independent,1.431726237,
11/2/1880,California,CA,Garfield,republican,48.88745448,1
11/2/1880,California,CA,Hancock,democrat,48.9751428,5
11/2/1880,California,CA,Weaver,independent,2.058848604,
11/2/1880,California,CA,Other,independent,0.07855411709,
11/2/1880,Colorado,CO,Garfield,republican,51.26433347,
11/2/1880,Colorado,CO,Hancock,democrat,46.02958204,
11/2/1880,Colorado,CO,Weaver,independent,2.679938744,
11/2/1880,Colorado,CO,Other,independent,0.02614574385,
11/2/1880,Connecticut,CN,Garfield,republican,50.50603172,
11/2/1880,Connecticut,CN,Hancock,democrat,48.5029895,
11/2/1880,Connecticut,CN,Weaver,independent,0.6536243016,
11/2/1880,Connecticut,CN,Other,independent,0.3373544782,
11/2/1880,Delaware,DE,Garfield,republican,48.02770045,
11/2/1880,Delaware,DE,Hancock,democrat,51.53438794,
11/2/1880,Delaware,DE,Weaver,independent,0.437911603,
11/2/1880,Delaware,DE,Other,independent,0,
11/2/1880,Florida,FL,Garfield,republican,45.82509977,
11/2/1880,Florida,FL,Hancock,democrat,54.17490023,
11/2/1880,Florida,FL,Weaver,independent,0,
11/2/1880,Florida,FL,Other,independent,0,
11/2/1880,Georgia,GA,Garfield,republican,34.59488984,
11/2/1880,Georgia,GA,Hancock,democrat,65.40511016,
11/2/1880,Georgia,GA,Weaver,independent,0,
11/2/1880,Georgia,GA,Other,independent,0,
11/2/1880,Illinois,IL,Garfield,republican,51.10612963,
11/2/1880,Illinois,IL,Hancock,democrat,44.56351789,
11/2/1880,Illinois,IL,Weaver,independent,4.235543664,
11/2/1880,Illinois,IL,Other,independent,0.09480881561,
11/2/1880,Indiana,IN,Garfield,republican,49.32606996,
11/2/1880,Indiana,IN,Hancock,democrat,47.91489615,
11/2/1880,Indiana,IN,Weaver,independent,2.759033892,
11/2/1880,Indiana,IN,Other,independent,0,
11/2/1880,Iowa,IA,Garfield,republican,56.99480581,
11/2/1880,Iowa,IA,Hancock,democrat,32.80306693,
11/2/1880,Iowa,IA,Weaver,independent,10.01865695,
11/2/1880,Iowa,IA,Other,independent,0.1834703162,
11/2/1880,Kansas,KS,Garfield,republican,60.40122046,
11/2/1880,Kansas,KS,Hancock,democrat,29.71684987,
11/2/1880,Kansas,KS,Weaver,independent,9.86453716,
11/2/1880,Kansas,KS,Other,independent,0.01739251426,
11/2/1880,Kentucky,KY,Garfield,republican,39.86836588,
11/2/1880,Kentucky,KY,Hancock,democrat,55.73671678,
11/2/1880,Kentucky,KY,Weaver,independent,4.307685396,
11/2/1880,Kentucky,KY,Other,independent,0.08723193962,
11/2/1880,Louisiana,LA,Garfield,republican,37.31308993,
11/2/1880,Louisiana,LA,Hancock,democrat,62.26857613,
11/2/1880,Louisiana,LA,Weaver,independent,0.4183339396,
11/2/1880,Louisiana,LA,Other,independent,0,
11/2/1880,Maine,ME,Garfield,republican,51.4596638,
11/2/1880,Maine,ME,Hancock,democrat,45.31594199,
11/2/1880,Maine,ME,Weaver,independent,3.063869412,
11/2/1880,Maine,ME,Other,independent,0.160524798,
11/2/1880,Maryland,MD,Garfield,republican,45.58967838,
11/2/1880,Maryland,MD,Hancock,democrat,54.41032162,
11/2/1880,Maryland,MD,Weaver,independent,0,
11/2/1880,Maryland,MD,Other,independent,0,
11/2/1880,Massachusetts,MA,Garfield,republican,58.52585336,
11/2/1880,Massachusetts,MA,Hancock,democrat,39.57982747,
11/2/1880,Massachusetts,MA,Weaver,independent,1.611251838,
11/2/1880,Massachusetts,MA,Other,independent,0.2830673303,
11/2/1880,Michigan,MI,Garfield,republican,52.49108556,
11/2/1880,Michigan,MI,Hancock,democrat,37.27126224,
11/2/1880,Michigan,MI,Weaver,independent,9.883057333,
11/2/1880,Michigan,MI,Other,independent,0.354594864,
11/2/1880,Minnesota,MN,Garfield,republican,62.28162101,
11/2/1880,Minnesota,MN,Hancock,democrat,35.36180938,
11/2/1880,Minnesota,MN,Weaver,independent,2.1668767,
11/2/1880,Minnesota,MN,Other,independent,0.1896929097,
11/2/1880,Mississippi,MS,Garfield,republican,29.76389791,
11/2/1880,Mississippi,MS,Hancock,democrat,64.70598285,
11/2/1880,Mississippi,MS,Weaver,independent,4.951822872,
11/2/1880,Mississippi,MS,Other,independent,0.5782963748,
11/2/1880,Missouri,MO,Garfield,republican,38.6738621,
11/2/1880,Missouri,MO,Hancock,democrat,52.50585846,
11/2/1880,Missouri,MO,Weaver,independent,8.820279444,
11/2/1880,Missouri,MO,Other,independent,0,
11/2/1880,Nebraska,NE,Garfield,republican,62.86763024,
11/2/1880,Nebraska,NE,Hancock,democrat,32.61560628,
11/2/1880,Nebraska,NE,Weaver,independent,4.516763482,
11/2/1880,Nebraska,NE,Other,independent,0,
11/2/1880,Nevada,NV,Garfield,republican,47.59880076,
11/2/1880,Nevada,NV,Hancock,democrat,52.40119924,
11/2/1880,Nevada,NV,Weaver,independent,0,
11/2/1880,Nevada,NV,Other,independent,0,
11/2/1880,New Hampshire,NH,Garfield,republican,51.94011186,
11/2/1880,New Hampshire,NH,Hancock,democrat,47.24007364,
11/2/1880,New Hampshire,NH,Weaver,independent,0.6113870844,
11/2/1880,New Hampshire,NH,Other,independent,0.2084274152,
11/2/1880,New Jersey,NJ,Garfield,republican,49.02044501,
11/2/1880,New Jersey,NJ,Hancock,democrat,49.83775739,
11/2/1880,New Jersey,NJ,Weaver,independent,1.064132592,
11/2/1880,New Jersey,NJ,Other,independent,0.07766500764,
11/2/1880,New York,NY,Garfield,republican,50.32352155,
11/2/1880,New York,NY,Hancock,democrat,48.41826359,
11/2/1880,New York,NY,Weaver,independent,1.120798591,
11/2/1880,New York,NY,Other,independent,0.1374162662,
11/2/1880,North Carolina,NC,Garfield,republican,47.98419563,
11/2/1880,North Carolina,NC,Hancock,democrat,51.54847974,
11/2/1880,North Carolina,NC,Weaver,independent,0.4673246288,
11/2/1880,North Carolina,NC,Other,independent,0,
11/2/1880,Ohio,OH,Garfield,republican,51.73311337,
11/2/1880,Ohio,OH,Hancock,democrat,47.01193296,
11/2/1880,Ohio,OH,Weaver,independent,0.8905232928,
11/2/1880,Ohio,OH,Other,independent,0.364430381,
11/2/1880,Oregon,OR,Garfield,republican,50.50829189,
11/2/1880,Oregon,OR,Hancock,democrat,48.88175783,
11/2/1880,Oregon,OR,Weaver,independent,0.6099502731,
11/2/1880,Oregon,OR,Other,independent,0,
11/2/1880,Pennsylvania,PA,Garfield,republican,50.83592159,
11/2/1880,Pennsylvania,PA,Hancock,democrat,46.57475054,
11/2/1880,Pennsylvania,PA,Weaver,independent,2.362643078,
11/2/1880,Pennsylvania,PA,Other,independent,0.2266847893,
11/2/1880,Rhode Island,RI,Garfield,republican,62.23704464,
11/2/1880,Rhode Island,RI,Hancock,democrat,36.87018984,
11/2/1880,Rhode Island,RI,Weaver,independent,0.807251582,
11/2/1880,Rhode Island,RI,Other,independent,0.08551393877,
11/2/1880,South Carolina,SC,Garfield,republican,34.13214915,
11/2/1880,South Carolina,SC,Hancock,democrat,65.51271254,
11/2/1880,South Carolina,SC,Weaver,independent,0.333936028,
11/2/1880,South Carolina,SC,Other,independent,0.02120228749,
11/2/1880,Tennessee,TN,Garfield,republican,44.26361592,
11/2/1880,Tennessee,TN,Hancock,democrat,53.26292942,
11/2/1880,Tennessee,TN,Weaver,independent,2.473454656,
11/2/1880,Tennessee,TN,Other,independent,0,
11/2/1880,Texas,TX,Garfield,republican,23.94984404,
11/2/1880,Texas,TX,Hancock,democrat,64.71293944,
11/2/1880,Texas,TX,Weaver,independent,11.33721652,
11/2/1880,Texas,TX,Other,independent,0,
11/2/1880,Vermont,VT,Garfield,republican,69.8067932,
11/2/1880,Vermont,VT,Hancock,democrat,28.14812521,
11/2/1880,Vermont,VT,Weaver,independent,1.876335263,
11/2/1880,Vermont,VT,Other,independent,0.1687463232,
11/2/1880,Virginia,VA,Garfield,republican,39.47385831,
11/2/1880,Virginia,VA,Hancock,democrat,60.52614169,
11/2/1880,Virginia,VA,Weaver,independent,0,
11/2/1880,Virginia,VA,Other,independent,0,
11/2/1880,West Virginia,WV,Garfield,republican,41.05343525,
11/2/1880,West Virginia,WV,Hancock,democrat,50.94947666,
11/2/1880,West Virginia,WV,Weaver,independent,7.997088094,
11/2/1880,West Virginia,WV,Other,independent,0,
11/2/1880,Wisconsin,WI,Garfield,republican,54.04379704,
11/2/1880,Wisconsin,WI,Hancock,democrat,42.9077762,
11/2/1880,Wisconsin,WI,Weaver,independent,2.988917874,
11/2/1880,Wisconsin,WI,Other,independent,0.05950888329,
11/2/1880,National Popular Vote,NPV,Garfield,republican,48.3144071925,
11/2/1880,National Popular Vote,NPV,Hancock,democrat,48.2160064487,
11/2/1880,National Popular Vote,NPV,Weaver,independent,3.3212692069,
11/4/1884,Alabama,AL,Cleveland,democrat,60.36556788,
11/4/1884,Alabama,AL,Blaine,republican,38.69447482,
11/4/1884,Alabama,AL,Other,independent,0.9399572983,
11/4/1884,Arkansas,AR,Cleveland,democrat,57.82682324,
11/4/1884,Arkansas,AR,Blaine,republican,40.70472813,
11/4/1884,Arkansas,AR,Other,independent,1.468448628,
11/4/1884,California,CA,Cleveland,democrat,45.32661888,
11/4/1884,California,CA,Blaine,republican,51.9671249,
11/4/1884,California,CA,Other,independent,2.706256219,
11/4/1884,Colorado,CO,Cleveland,democrat,41.67681414,
11/4/1884,Colorado,CO,Blaine,republican,54.24615523,
11/4/1884,Colorado,CO,Other,independent,4.077030623,
11/4/1884,Connecticut,CT,Cleveland,democrat,48.94613754,
11/4/1884,Connecticut,CT,Blaine,republican,48.01066612,
11/4/1884,Connecticut,CT,Other,independent,3.04319634,
11/4/1884,Delaware,DE,Cleveland,democrat,56.5534952,
11/4/1884,Delaware,DE,Blaine,republican,43.19970651,
11/4/1884,Delaware,DE,Other,independent,0.2467982924,
11/4/1884,Florida,FL,Cleveland,democrat,52.95715953,
11/4/1884,Florida,FL,Blaine,republican,46.72612102,
