date,region,candidate,party,voteshare
03/01/2026,Dentone,Solidarity,solidarity,7.76
03/01/2026,Dentone,Progressive Labour,proglab,22.78
03/01/2026,Dentone,UCP,pwp,9.2
03/01/2026,Emix,Nationals,national,7.95
03/01/2026,Emix,Alliance,alliance,38.57
03/01/2026,Emix,Solidarity,solidarity,12.78
03/01/2026,Emix,Progressive Labour,proglab,32.64
03/01/2026,Emix,UCP,pwp,8.06
03/01/2026,Garvor,Nationals,national,14.19
03/01/2026,Garvor,Alliance,alliance,40.27
03/01/2026,Garvor,Solidarity,solidarity,9.24
03/01/2026,Garvor,Progressive Labour,proglab,27.68
03/01/2026,Garvor,UCP,pwp,8.62
03/01/2026,Kilden,Nationals,national,7.92
03/01/2026,Kilden,Alliance,alliance,33.34
03/01/2026,Kilden,Solidarity,solidarity,12.85
03/01/2026,Kilden,Progressive Labour,proglab,32.76
03/01/2026,Kilden,UCP,pwp,13.13
03/01/2026,Newmasi,Nationals,national,7.94
03/01/2026,Newmasi,Alliance,alliance,43.92
03/01/2026,Newmasi,Solidarity,solidarity,13.31
03/01/2026,Newmasi,Progressive Labour,proglab,25.81
03/01/2026,Newmasi,UCP,pwp,9.02
03/01/2026,Quintin,Nationals,national,7.92
03/01/2026,Quintin,Alliance,alliance,39.06
03/01/2026,Quintin,Solidarity,solidarity,7.76
03/01/2026,Quintin,Progressive Labour,proglab,39.85
03/01/2026,Quintin,UCP,pwp,5.41
03/01/2026,Trunoe,Nationals,national,7.91
03/01/2026,Trunoe,Alliance,alliance,49.77
03/01/2026,Trunoe,Solidarity,solidarity,10.57
03/01/2026,Trunoe,Progressive Labour,proglab,23.67
03/01/2026,Trunoe,UCP,pwp,8.08
03/01/2026,National Popular Vote,Nationals,national,9.11
03/01/2026,National Popular Vote,Alliance,alliance,43.55
03/01/2026,National Popular Vote,Solidarity,solidarity,11.25
03/01/2026,National Popular Vote,Progressive Labour,proglab,27.07
03/01/2026,National Popular Vote,UCP,pwp,9.02
04/18/2026,Emix,Nationals,national,0.7
04/18/2026,Emix,Alliance,alliance,40.09
04/18/2026,Emix,Solidarity,solidarity,9.65
04/18/2026,Emix,SDP,sdp,13.41
04/18/2026,Emix,Green,green,25.42
04/18/2026,Emix,UCP,ucp,10.73
04/18/2026,Kilden,Nationals,national,0.72
04/18/2026,Kilden,Alliance,alliance,38.38
04/18/2026,Kilden,Solidarity,solidarity,11.72
04/18/2026,Kilden,SDP,sdp,15.86
04/18/2026,Kilden,Green,green,16.61
04/18/2026,Kilden,UCP,ucp,16.72
04/18/2026,Brunix Islands,Nationals,national,3.86
04/18/2026,Brunix Islands,Alliance,alliance,58
04/18/2026,Brunix Islands,Solidarity,solidarity,5.5
04/18/2026,Brunix Islands,SDP,sdp,2.97
04/18/2026,Brunix Islands,Green,green,16.35
04/18/2026,Brunix Islands,UCP,ucp,13.32
04/18/2026,Garvor,Nationals,national,6.6
04/18/2026,Garvor,Alliance,alliance,40.31
04/18/2026,Garvor,Solidarity,solidarity,9.82
04/18/2026,Garvor,SDP,sdp,13.39
04/18/2026,Garvor,Green,green,18.54
04/18/2026,Garvor,UCP,ucp,11.35
04/18/2026,Dalminica,Nationals,national,2.42
04/18/2026,Dalminica,Alliance,alliance,43.15
04/18/2026,Dalminica,Solidarity,solidarity,9.21
04/18/2026,Dalminica,SDP,sdp,18.09
04/18/2026,Dalminica,Green,green,17.31
04/18/2026,Dalminica,UCP,ucp,9.82
04/18/2026,Newmasi,Nationals,national,5.14
04/18/2026,Newmasi,Alliance,alliance,43.53
04/18/2026,Newmasi,Solidarity,solidarity,12.47
04/18/2026,Newmasi,SDP,sdp,9.56
04/18/2026,Newmasi,Green,green,16.77
04/18/2026,Newmasi,UCP,ucp,12.54
04/18/2026,Trunoe,Nationals,national,0.72
04/18/2026,Trunoe,Alliance,alliance,49.36
04/18/2026,Trunoe,Solidarity,solidarity,5.53
04/18/2026,Trunoe,SDP,sdp,10.53
04/18/2026,Trunoe,Green,green,23.81
04/18/2026,Trunoe,UCP,ucp,10.05
04/18/2026,Alvana,Nationals,national,2.55
04/18/2026,Alvana,Alliance,alliance,45.41
04/18/2026,Alvana,Solidarity,solidarity,7.19
04/18/2026,Alvana,SDP,sdp,13.01
04/18/2026,Alvana,Green,green,15.84
04/18/2026,Alvana,UCP,ucp,16
04/18/2026,Dentone,Nationals,national,2.66
04/18/2026,Dentone,Alliance,alliance,52.72
04/18/2026,Dentone,Solidarity,solidarity,5.4
04/18/2026,Dentone,SDP,sdp,5.54
04/18/2026,Dentone,Green,green,15.87
04/18/2026,Dentone,UCP,ucp,17.81
04/18/2026,Quintin,Nationals,national,0.68
04/18/2026,Quintin,Alliance,alliance,39.92
04/18/2026,Quintin,Solidarity,solidarity,5.43
04/18/2026,Quintin,SDP,sdp,25.93
04/18/2026,Quintin,Green,green,17.89
04/18/2026,Quintin,UCP,ucp,10.15
04/18/2026,National Popular Vote,Nationals,jnp,2.6
04/18/2026,National Popular Vote,Alliance,alliance,45.09
04/18/2026,National Popular Vote,Solidarity,solidarity,8.19
04/18/2026,National Popular Vote,SDP,sdp,12.83
04/18/2026,National Popular Vote,Green,green,18.44
04/18/2026,National Popular Vote,UCP,pwp,12.85
05/31/2026,Emix,Alliance,alliance,34.02
05/31/2026,Emix,FDP,fdp,9.95
05/31/2026,Emix,SDP,sdp,20.91
05/31/2026,Emix,Green,green,21.79
05/31/2026,Emix,UCP,ucp,13.34
05/31/2026,Kilden,Alliance,alliance,29.1
05/31/2026,Kilden,FDP,fdp,10.64
05/31/2026,Kilden,SDP,sdp,22.7
05/31/2026,Kilden,Green,green,19.33
05/31/2026,Kilden,UCP,ucp,18.23
05/31/2026,Brunix Islands,Alliance,alliance,48.93
05/31/2026,Brunix Islands,FDP,fdp,11.02
05/31/2026,Brunix Islands,SDP,sdp,14.52
05/31/2026,Brunix Islands,Green,green,16.35
05/31/2026,Brunix Islands,UCP,ucp,9.18
05/31/2026,Garvor,Alliance,alliance,38.03
05/31/2026,Garvor,FDP,fdp,12.52
05/31/2026,Garvor,SDP,sdp,20.39
05/31/2026,Garvor,Green,green,17.17
05/31/2026,Garvor,UCP,ucp,11.88
05/31/2026,Dalminica,Alliance,alliance,35.81
05/31/2026,Dalminica,FDP,fdp,15.29
05/31/2026,Dalminica,SDP,sdp,20.93
05/31/2026,Dalminica,Green,green,19.2
05/31/2026,Dalminica,UCP,ucp,8.76
05/31/2026,Newmasi,Alliance,alliance,30.74
05/31/2026,Newmasi,FDP,fdp,16.83
05/31/2026,Newmasi,SDP,sdp,23.79
05/31/2026,Newmasi,Green,green,18.17
05/31/2026,Newmasi,UCP,ucp,10.47
05/31/2026,Trunoe,Alliance,alliance,40.3
05/31/2026,Trunoe,FDP,fdp,7.82
05/31/2026,Trunoe,SDP,sdp,10.82
05/31/2026,Trunoe,Green,green,26.71
05/31/2026,Trunoe,UCP,ucp,14.35
05/31/2026,Alvana,Alliance,alliance,34.53
05/31/2026,Alvana,FDP,fdp,11.77
05/31/2026,Alvana,SDP,sdp,18.93
05/31/2026,Alvana,Green,green,18.69
05/31/2026,Alvana,UCP,ucp,16.08
05/31/2026,Dentone,Alliance,alliance,42.21
05/31/2026,Dentone,FDP,fdp,10.2
05/31/2026,Dentone,SDP,sdp,14.71
05/31/2026,Dentone,Green,green,21.61
05/31/2026,Dentone,UCP,ucp,11.27
05/31/2026,Quintin,Alliance,alliance,31.98
05/31/2026,Quintin,FDP,fdp,10.26
05/31/2026,Quintin,SDP,sdp,26.85
05/31/2026,Quintin,Green,green,21.77
05/31/2026,Quintin,UCP,ucp,9.13
05/31/2026,National Popular Vote,Alliance,alliance,36.56
05/31/2026,National Popular Vote,FDP,fdp,11.63
05/31/2026,National Popular Vote,SDP,sdp,19.46
05/31/2026,National Popular Vote,Green,green,20.08
05/31/2026,National Popular Vote,UCP,pwp,12.27
